,Network,Date,Time,Program,Length,Rating,Minute_In_Commercial,Total_Loss_perc
52,DKN,2015-09-21,10:52 PM,BLACK_S_BOT,60,2.7735695765951123,1,1.8322873882404829
53,DKN,2015-09-21,10:53 PM,BLACK_S_BOT,60,2.9093865767129774,1,2.402755902656601
54,DKN,2015-09-21,10:54 PM,BLACK_S_BOT,60,2.9824264383944348,0,2.6244065685322004
55,DKN,2015-09-21,10:55 PM,BLACK_S_BOT,60,2.9545331273050857,0,1.5676627344315859
56,DKN,2015-09-21,10:56 PM,BLACK_S_BOT,60,2.938525541056056,0,0.9081673616984748
57,DKN,2015-09-21,10:57 PM,BLACK_S_BOT,60,2.981769514124971,0,0.864910273714534
58,DKN,2015-09-21,10:58 PM,BLACK_S_BOT,60,3.019603161338886,0,2.389351057085896
59,DKN,2015-09-21,10:59 PM,BLACK_S_BOT,60,3.067311327412234,0,0.0
60,DKN,2015-09-28,10:00 PM,BLACK_S_BOT,60,3.529609880133348,0,21.636785856205766
61,DKN,2015-09-28,10:01 PM,BLACK_S_BOT,60,3.046893839832274,0,8.225687873163855
62,DKN,2015-09-28,10:02 PM,BLACK_S_BOT,60,2.9849244379169035,0,7.100924553701706
63,DKN,2015-09-28,10:03 PM,BLACK_S_BOT,60,2.9016031341048305,0,5.157058153676651
64,DKN,2015-09-28,10:04 PM,BLACK_S_BOT,60,2.8128689579991097,0,3.256827041241116
65,DKN,2015-09-28,10:05 PM,BLACK_S_BOT,60,2.8096810407907755,0,1.9621681419779344
66,DKN,2015-09-28,10:06 PM,BLACK_S_BOT,60,2.80865651823883,0,2.0022903985092686
67,DKN,2015-09-28,10:07 PM,BLACK_S_BOT,60,2.80388985019018,0,1.8610837691881392
68,DKN,2015-09-28,10:08 PM,BLACK_S_BOT,60,2.8240919475818123,0,2.103085775504574
69,DKN,2015-09-28,10:09 PM,BLACK_S_BOT,60,2.8147917075827813,0,4.5801717249014535
70,DKN,2015-09-28,10:10 PM,BLACK_S_BOT,60,2.7481757503737025,0,2.980449971504961
71,DKN,2015-09-28,10:11 PM,BLACK_S_BOT,60,2.7024507371285957,0,2.4205952121761736
72,DKN,2015-09-28,10:12 PM,BLACK_S_BOT,60,2.6779086504337206,0,2.446231542026084
73,DKN,2015-09-28,10:13 PM,BLACK_S_BOT,60,2.6554640181655493,0,2.3008348601482367
74,DKN,2015-09-28,10:14 PM,BLACK_S_BOT,60,2.646179618129692,0,1.4868601674726325
75,DKN,2015-09-28,10:15 PM,BLACK_S_BOT,60,2.6612602319817387,0,3.159553802712194
76,DKN,2015-09-28,10:16 PM,BLACK_S_BOT,60,2.6089155423549197,0,1.4679521272846878
77,DKN,2015-09-28,10:17 PM,BLACK_S_BOT,60,2.5876224815788014,0,2.1985782014948896
78,DKN,2015-09-28,10:18 PM,BLACK_S_BOT,60,2.5567873549989564,0,2.8232151209273817
79,DKN,2015-09-28,10:19 PM,BLACK_S_BOT,60,2.518115681975785,0,2.2734920118476354
80,DKN,2015-09-28,10:20 PM,BLACK_S_BOT,60,2.4886857197208703,1,8.740287039321942
81,DKN,2015-09-28,10:21 PM,BLACK_S_BOT,60,2.3259661760038437,1,4.350693681090753
82,DKN,2015-09-28,10:22 PM,BLACK_S_BOT,60,2.285607866864164,1,2.7182712733534538
83,DKN,2015-09-28,10:23 PM,BLACK_S_BOT,60,2.2943105299572406,1,1.7456200321424242
84,DKN,2015-09-28,10:24 PM,BLACK_S_BOT,60,2.3251488352482466,0,1.5961663489201356
85,DKN,2015-09-28,10:25 PM,BLACK_S_BOT,60,2.411981877884541,0,1.3186577238950727
86,DKN,2015-09-28,10:26 PM,BLACK_S_BOT,60,2.450328297557722,0,1.5393504665391264
87,DKN,2015-09-28,10:27 PM,BLACK_S_BOT,60,2.4378681540291667,0,1.3974467853932435
88,DKN,2015-09-28,10:28 PM,BLACK_S_BOT,60,2.463635710653347,0,5.065102994353269
89,DKN,2015-09-28,10:29 PM,BLACK_S_BOT,60,2.3485958959780864,1,8.389790064449201
90,DKN,2015-09-28,10:30 PM,BLACK_S_BOT,60,2.1873745297450737,1,2.113436463851317
91,DKN,2015-09-28,10:31 PM,BLACK_S_BOT,60,2.2223681822463663,0,2.692971703062784
92,DKN,2015-09-28,10:32 PM,BLACK_S_BOT,60,2.2378634039070304,0,2.573846067419757
93,DKN,2015-09-28,10:33 PM,BLACK_S_BOT,60,2.290867181061192,1,1.2341222973892487
94,DKN,2015-09-28,10:34 PM,BLACK_S_BOT,60,2.357991285565883,0,1.3181283095647596
95,DKN,2015-09-28,10:35 PM,BLACK_S_BOT,60,2.386143998670031,0,1.6064953178059722
96,DKN,2015-09-28,10:36 PM,BLACK_S_BOT,60,2.385275456901576,0,1.1010704419854545
97,DKN,2015-09-28,10:37 PM,BLACK_S_BOT,60,2.3941847531058404,0,2.4807085489445333
98,DKN,2015-09-28,10:38 PM,BLACK_S_BOT,60,2.3590336831215577,0,1.7573809993745315
99,DKN,2015-09-28,10:39 PM,BLACK_S_BOT,60,2.3528939434234686,1,8.515583384002664
100,DKN,2015-09-28,10:40 PM,BLACK_S_BOT,60,2.167037134618907,1,2.873600683043948
101,DKN,2015-09-28,10:41 PM,BLACK_S_BOT,60,2.1546222961738932,1,2.917175656063461
102,DKN,2015-09-28,10:42 PM,BLACK_S_BOT,60,2.1915566431383686,1,2.337011742394603
103,DKN,2015-09-28,10:43 PM,BLACK_S_BOT,60,2.2635481014450005,1,1.3002766233210303
104,DKN,2015-09-28,10:44 PM,BLACK_S_BOT,60,2.308598841564021,0,2.878592725149584
105,DKN,2015-09-28,10:45 PM,BLACK_S_BOT,60,2.3013655906738038,0,0.854352054629782
106,DKN,2015-09-28,10:46 PM,BLACK_S_BOT,60,2.3586355477251657,0,1.7230157409635585
107,DKN,2015-09-28,10:47 PM,BLACK_S_BOT,60,2.369319106828152,0,0.954130223286444
108,DKN,2015-09-28,10:48 PM,BLACK_S_BOT,60,2.359265088458732,1,9.982931242512548
109,DKN,2015-09-28,10:49 PM,BLACK_S_BOT,60,2.142063896358427,1,2.2712995827439446
110,DKN,2015-09-28,10:50 PM,BLACK_S_BOT,60,2.1557275344817555,1,3.3271052397451846
111,DKN,2015-09-28,10:51 PM,BLACK_S_BOT,60,2.1604143435663867,1,2.7295738017645905
112,DKN,2015-09-28,10:52 PM,BLACK_S_BOT,60,2.187786658692511,1,1.4380167145070435
113,DKN,2015-09-28,10:53 PM,BLACK_S_BOT,60,2.261428022646108,1,2.3404523493623732
114,DKN,2015-09-28,10:54 PM,BLACK_S_BOT,60,2.265129121823452,0,1.6686786063231849
115,DKN,2015-09-28,10:55 PM,BLACK_S_BOT,60,2.281066215970502,0,1.110885085827554
116,DKN,2015-09-28,10:56 PM,BLACK_S_BOT,60,2.2996717465968834,0,1.0103789707434248
117,DKN,2015-09-28,10:57 PM,BLACK_S_BOT,60,2.3220679098511012,1,8.424706463262646
118,DKN,2015-09-28,10:58 PM,BLACK_S_BOT,60,2.156672334359797,1,2.6282566825666662
119,DKN,2015-09-28,10:59 PM,BLACK_S_BOT,60,2.2500481701887995,1,0.0
120,DKN,2015-10-05,10:00 PM,BLACK_S_BOT,60,3.122943556338768,1,15.266842633546212
121,DKN,2015-10-05,10:01 PM,BLACK_S_BOT,60,2.899957164813906,0,7.004691066668865
122,DKN,2015-10-05,10:02 PM,BLACK_S_BOT,60,2.8351402501982386,0,5.1541139235277935
123,DKN,2015-10-05,10:03 PM,BLACK_S_BOT,60,2.7696103101501586,0,4.410500940524302
124,DKN,2015-10-05,10:04 PM,BLACK_S_BOT,60,2.7086848119485727,0,2.7349084569826028
125,DKN,2015-10-05,10:05 PM,BLACK_S_BOT,60,2.6785183545719,0,2.321767640767768
126,DKN,2015-10-05,10:06 PM,BLACK_S_BOT,60,2.6373717244671435,0,3.1014053199288907
127,DKN,2015-10-05,10:07 PM,BLACK_S_BOT,60,2.623438407488926,0,2.890825789672833
128,DKN,2015-10-05,10:08 PM,BLACK_S_BOT,60,2.606212278288408,0,2.6343684955012288
129,DKN,2015-10-05,10:09 PM,BLACK_S_BOT,60,2.592817784564061,0,3.607585669463701
130,DKN,2015-10-05,10:10 PM,BLACK_S_BOT,60,2.5509504976095085,0,2.628831427874857
131,DKN,2015-10-05,10:11 PM,BLACK_S_BOT,60,2.5812961189655743,0,2.5863948383944932
132,DKN,2015-10-05,10:12 PM,BLACK_S_BOT,60,2.555974102587014,0,1.913246259062407
133,DKN,2015-10-05,10:13 PM,BLACK_S_BOT,60,2.571013061522547,0,2.168250841061725
134,DKN,2015-10-05,10:14 PM,BLACK_S_BOT,60,2.555789638155112,0,1.7930917125315204
135,DKN,2015-10-05,10:15 PM,BLACK_S_BOT,60,2.547655337792824,0,1.936248972790512
136,DKN,2015-10-05,10:16 PM,BLACK_S_BOT,60,2.5432181632116304,0,2.1766612322272136
137,DKN,2015-10-05,10:17 PM,BLACK_S_BOT,60,2.4972602868238063,1,9.283010809109902
138,DKN,2015-10-05,10:18 PM,BLACK_S_BOT,60,2.2822945049771053,1,3.7776591831634767
139,DKN,2015-10-05,10:19 PM,BLACK_S_BOT,60,2.2517260893633138,1,2.3973065492013395
140,DKN,2015-10-05,10:20 PM,BLACK_S_BOT,60,2.246364775207349,1,2.0700821844074464
141,DKN,2015-10-05,10:21 PM,BLACK_S_BOT,60,2.3328728546071087,0,1.2627347825573194
142,DKN,2015-10-05,10:22 PM,BLACK_S_BOT,60,2.4165234806750204,0,1.4766400626454272
143,DKN,2015-10-05,10:23 PM,BLACK_S_BOT,60,2.439342523227304,0,2.182622572599751
144,DKN,2015-10-05,10:24 PM,BLACK_S_BOT,60,2.443866131387788,0,1.9123987597407488
145,DKN,2015-10-05,10:25 PM,BLACK_S_BOT,60,2.4496500866884916,0,1.7216799032008356
146,DKN,2015-10-05,10:26 PM,BLACK_S_BOT,60,2.4457063002505013,0,0.8985599724074284
147,DKN,2015-10-05,10:27 PM,BLACK_S_BOT,60,2.457650385054257,0,2.7200182404336077
148,DKN,2015-10-05,10:28 PM,BLACK_S_BOT,60,2.401308278933856,0,0.8827938087441385
149,DKN,2015-10-05,10:29 PM,BLACK_S_BOT,60,2.405816590646257,1,8.614647445016859
150,DKN,2015-10-05,10:30 PM,BLACK_S_BOT,60,2.221640351759023,1,3.814469691147707
151,DKN,2015-10-05,10:31 PM,BLACK_S_BOT,60,2.1676522008735493,1,2.5901250167253607
152,DKN,2015-10-05,10:32 PM,BLACK_S_BOT,60,2.179200454319157,0,2.5724240873180606
153,DKN,2015-10-05,10:33 PM,BLACK_S_BOT,60,2.211198838344816,0,2.628667324724431
154,DKN,2015-10-05,10:34 PM,BLACK_S_BOT,60,2.301667780324632,0,1.9627650588864551
155,DKN,2015-10-05,10:35 PM,BLACK_S_BOT,60,2.3334480201416787,0,1.4225498513361314
156,DKN,2015-10-05,10:36 PM,BLACK_S_BOT,60,2.317854027537804,0,1.6654238823326193
157,DKN,2015-10-05,10:37 PM,BLACK_S_BOT,60,2.346208053538877,0,1.6683633210872435
158,DKN,2015-10-05,10:38 PM,BLACK_S_BOT,60,2.346648240525304,1,10.430582358167012
159,DKN,2015-10-05,10:39 PM,BLACK_S_BOT,60,2.116855318196678,1,2.2435153686643488
160,DKN,2015-10-05,10:40 PM,BLACK_S_BOT,60,2.138179312300508,1,2.6568877090841956
161,DKN,2015-10-05,10:41 PM,BLACK_S_BOT,60,2.1583860141968234,1,2.0687183653656005
